
matrixupdate 1.145339 matrix 1.131359, up: 2.334444, left 5.609288, right 0.183920, downright 1.359073, down 0.435324, downleft 0.172236

matrixupdate 1.159332 matrix 1.145339, up: 2.356654, left 5.638797, right 0.187629, downright 1.376339, down 0.443300, downleft 0.175864

matrixupdate 1.173336 matrix 1.159332, up: 2.378801, left 5.668109, right 0.191371, downright 1.393621, down 0.451329, downleft 0.179529

matrixupdate 1.187351 matrix 1.173336, up: 2.400887, left 5.697225, right 0.195145, downright 1.410917, down 0.459410, downleft 0.183231

matrixupdate 1.201375 matrix 1.187351, up: 2.422910, left 5.726148, right 0.198951, downright 1.428225, down 0.467543, downleft 0.186968

matrixupdate 1.215409 matrix 1.201375, up: 2.444869, left 5.754879, right 0.202789, downright 1.445546, down 0.475727, downleft 0.190742

matrixupdate 1.229450 matrix 1.215409, up: 2.466765, left 5.783421, right 0.206658, downright 1.462878, down 0.483961, downleft 0.194552

matrixupdate 1.243499 matrix 1.229450, up: 2.488597, left 5.811774, right 0.210558, downright 1.480219, down 0.492244, downleft 0.198397

matrixupdate 1.257555 matrix 1.243499, up: 2.510365, left 5.839941, right 0.214490, downright 1.497569, down 0.500576, downleft 0.202278

matrixupdate 1.271617 matrix 1.257555, up: 2.532069, left 5.867924, right 0.218451, downright 1.514926, down 0.508956, downleft 0.206194

matrixupdate 1.285685 matrix 1.271617, up: 2.553707, left 5.895725, right 0.222444, downright 1.532290, down 0.517383, downleft 0.210145

matrixupdate 1.299757 matrix 1.285685, up: 2.575281, left 5.923344, right 0.226466, downright 1.549660, down 0.525858, downleft 0.214131

matrixupdate 1.313833 matrix 1.299757, up: 2.596789, left 5.950785, right 0.230518, downright 1.567034, down 0.534378, downleft 0.218152

matrixupdate 1.327912 matrix 1.313833, up: 2.618232, left 5.978048, right 0.234600, downright 1.584412, down 0.542944, downleft 0.222207

matrixupdate 1.341994 matrix 1.327912, up: 2.639609, left 6.005135, right 0.238711, downright 1.601792, down 0.551555, downleft 0.226297

matrixupdate 1.356078 matrix 1.341994, up: 2.660920, left 6.032049, right 0.242852, downright 1.619174, down 0.560209, downleft 0.230421

matrixupdate 1.370164 matrix 1.356078, up: 2.682165, left 6.058790, right 0.247021, downright 1.636557, down 0.568908, downleft 0.234578

matrixupdate 1.384250 matrix 1.370164, up: 2.703344, left 6.085360, right 0.251218, downright 1.653940, down 0.577649, downleft 0.238769

